word,source,language,datetime
spoors,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-24T03:24:05Z
groundswell.,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-25T04:13:31Z
fatuous,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-26T23:22:41Z
parsimonious,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-28T15:44:52Z
obeisance,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-29T03:16:01Z
"agnation,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-29T03:35:01Z
exogamous,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-29T03:57:52Z
patrilocal.,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-29T03:57:59Z
usufructuary,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T04:30:27Z
chattels,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T17:49:28Z
acephalous,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T18:10:32Z
anomic,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T18:54:51Z
"appanage,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T19:33:10Z
"benefice,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T19:33:24Z
cadastral,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T19:46:24Z
corvée,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T19:55:34Z
contumacious,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T20:00:22Z
precociously,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T20:28:03Z
execrated,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T22:56:22Z
enfeoffed,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T23:01:54Z
latifundia,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-09-30T23:14:32Z
endogamous,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-01T02:08:28Z
sacralization,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-01T02:08:48Z
acerbic,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-01T02:41:14Z
ashrams.,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-01T02:46:57Z
parvenu,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-02T20:05:37Z
levirate.,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T00:35:51Z
waqfs,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T00:38:18Z
seigneurial,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T01:08:50Z
muniment,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T01:12:05Z
millenarian,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T01:54:08Z
benefice,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:15:18Z
dirigiste,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:28:08Z
ulama,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:36:12Z
"panditas,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:37:47Z
clerisy,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:41:41Z
kadis,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:43:46Z
mufti.,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:43:52Z
"fatwas,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:44:11Z
"intestate,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T02:46:02Z
memorialists,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-03T12:14:27Z
"profligate,","file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-04T03:28:10Z
venality,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-04T04:16:30Z
physiocrat,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-04T14:36:20Z
creole,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-05T01:29:38Z
spandrel,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-06T03:02:06Z
diachronic,"file:///mnt/onboard/Fukuyama, Francis/Origins of Political Order, The - Fukuyama, Francis.epub",-en,2021-10-06T15:00:55Z
offal.,"file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-06T18:58:58Z
"strakes,","file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-07T02:19:49Z
reprove,"file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-07T21:23:35Z
"precentor,","file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-08T03:48:31Z
decorous,"file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-08T04:02:08Z
"inexorable,","file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-08T04:59:07Z
"bumptious,","file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-08T14:02:38Z
leverets,"file:///mnt/onboard/Cornwell, Bernard/Pale Horseman, The - Bernard Cornwell.epub",-en,2021-10-08T16:35:11Z
pernicious,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-09T06:06:02Z
skeins,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-09T06:10:42Z
ignominiously,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-09T06:15:26Z
ague,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-09T13:18:13Z
clout,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-09T13:36:41Z
lascivious,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-10T17:58:54Z
sticklebacks,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-10T18:17:21Z
crag.,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-10T23:33:08Z
voluble.,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T02:05:42Z
"lugubrious,","file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T03:06:25Z
fistula,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T03:08:00Z
impertinent,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T03:25:40Z
"asperity,","file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T03:27:33Z
solemnised,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T03:33:08Z
baleful,"file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T03:40:30Z
"dotage,","file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T04:45:28Z
"keening,","file:///mnt/onboard/Cornwell, Bernard/Lords of the North, The - Bernard Cornwell.epub",-en,2021-10-11T19:19:07Z
vixen,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T00:45:30Z
grapnel,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T01:48:57Z
distaff.,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T03:21:36Z
"Coot,","file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T03:23:47Z
moorhen,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T03:23:53Z
dabchicks,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T03:24:06Z
risible.,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T04:16:29Z
petulant,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T04:16:41Z
unshriven.,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T19:49:54Z
trews.,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-12T20:17:18Z
asperity,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-13T00:11:31Z
puerile.,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-13T00:16:17Z
supercilious,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-13T03:29:34Z
lassitude,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T03:25:10Z
reproof,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T03:59:39Z
wan,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T04:04:33Z
blithely,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T04:17:41Z
propitiate,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T18:06:56Z
homily.,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T18:12:37Z
limpid,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-14T18:34:03Z
discomfited,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-15T03:06:25Z
flensed,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-15T03:09:06Z
prise,"file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-15T03:27:22Z
"unctuously,","file:///mnt/onboard/Cornwell, Bernard/Sword Song - Bernard Cornwell.epub",-en,2021-10-15T03:39:43Z
